"id","image","label","shape","color"
"Aesop Rock","https://i.scdn.co/image/ab6761610000e5ebf5378bf885b600b20c7bdb49","Aesop Rock","circularImage","white"
"Dessiderium","https://i.scdn.co/image/ab6761610000e5eb7d107822f85882a1ff0a62cb","Dessiderium","circularImage","white"
"Sage Francis","https://i.scdn.co/image/ab6761610000e5eb3711882f051a1bf44050cdc4","Sage Francis","circularImage","white"
"BUSDRIVER","https://i.scdn.co/image/ab6761610000e5ebf9b978a8664af3caaf976111","BUSDRIVER","circularImage","white"
"El-P","https://i.scdn.co/image/ab6761610000e5eb0638f3bd379fbd2ceebc8bda","El-P","circularImage","white"
"Eyedea & Abilities","https://i.scdn.co/image/593477189786f92c959d0998979ede9644bfa026","Eyedea & Abilities","circularImage","white"
"Hail Mary Mallon","https://i.scdn.co/image/ab6761610000e5eb513cd687b07c95f4ff8b38d9","Hail Mary Mallon","circularImage","white"
"Cannibal Ox","https://i.scdn.co/image/ab6761610000e5ebae2540437d3fed1d75da49b6","Cannibal Ox","circularImage","white"
"Brother Ali","https://i.scdn.co/image/ab6761610000e5ebc69a0ddeb41cfc9d26778e04","Brother Ali","circularImage","white"
"Rob Sonic","https://i.scdn.co/image/ab6761610000e5eb25190dc320d99b7c0e7006df","Rob Sonic","circularImage","white"
"Deltron 3030","https://i.scdn.co/image/ab6761610000e5eba94efd9c009b574902667a0a","Deltron 3030","circularImage","white"
"Del The Funky Homosapien","https://i.scdn.co/image/37ddb345143488175cef180b553253a467ec5362","Del The Funky Homosapien","circularImage","white"
"Murs","https://i.scdn.co/image/ab6761610000e5eb0b56d3bdb4e4ffdae21c949b","Murs","circularImage","white"
"Cage","https://i.scdn.co/image/31a62ab34df76a630179bd4d567a1633fe7b3280","Cage","circularImage","white"
"Mr. Lif","https://i.scdn.co/image/ab6761610000e5eb96717a804e2633a00ebdf52a","Mr. Lif","circularImage","white"
"Atmosphere","https://i.scdn.co/image/ab6761610000e5eb6696e1c53aaf4e114ad869aa","Atmosphere","circularImage","white"
"Soul Position","https://i.scdn.co/image/513b75b6e0ecc986806997d77204bcf3f7825c25","Soul Position","circularImage","white"
"Blackalicious","https://i.scdn.co/image/ab6761610000e5eb772e43ea0f6e9e2e03eef2f5","Blackalicious","circularImage","white"
"Hieroglyphics","https://i.scdn.co/image/ab6761610000e5eb09cfc2da310368fd6a6dce39","Hieroglyphics","circularImage","white"
"Blueprint","https://i.scdn.co/image/ab6761610000e5eb900eaa7d6a6291dfd4534bbf","Blueprint","circularImage","white"
"Astronautalis","https://i.scdn.co/image/5ec5733d2411f747be7efa906be1016db964dbe2","Astronautalis","circularImage","white"
"Handsome Boy Modeling School","https://i.scdn.co/image/ab6761610000e5ebeb049e8fe237761c3ca58fcf","Handsome Boy Modeling School","circularImage","white"
"Aethereus","https://i.scdn.co/image/ab6761610000e5ebe8ee28d783f7f6a2ae1cd3c3","Aethereus","circularImage","white"
"Warforged","https://i.scdn.co/image/ab6761610000e5eb42038d44e5c850eebbd01501","Warforged","circularImage","white"
"Aronious","https://i.scdn.co/image/ab67616d0000b273b135d83764bf1aac86f110b1","Aronious","circularImage","white"
"Greylotus","https://i.scdn.co/image/ab6761610000e5eb7ed6b7beaa75329bbcaba837","Greylotus","circularImage","white"
"Burial In The Sky","https://i.scdn.co/image/ab6761610000e5eb433185f355f329b07498fa67","Burial In The Sky","circularImage","white"
"Arkaik","https://i.scdn.co/image/ab6761610000e5ebf62eb0c991cf82a07608b6d1","Arkaik","circularImage","white"
"Flub","https://i.scdn.co/image/ab6761610000e5ebfa4ce80e094b06606c696de1","Flub","circularImage","white"
"Stortregn","https://i.scdn.co/image/ab6761610000e5eb887e62b1529da403db05be09","Stortregn","circularImage","white"
"Inanimate Existence","https://i.scdn.co/image/ab6761610000e5eb33638e0e3c38ae055f9cb9d1","Inanimate Existence","circularImage","white"
"Tómarúm","https://i.scdn.co/image/ab6761610000e5ebe63faa729f14a01642fb85c7","Tómarúm","circularImage","white"
"The Devils of Loudun","https://i.scdn.co/image/ab6761610000e5eb7ccb775d24065ab5d6970430","The Devils of Loudun","circularImage","white"
"Singularity","https://i.scdn.co/image/ab6761610000e5eb12ba809d34557326fe45c676","Singularity","circularImage","white"
"Iapetus","https://i.scdn.co/image/ab6761610000e5ebf2b48e28e9d1f893029b91a3","Iapetus","circularImage","white"
"Alustrium","https://i.scdn.co/image/ab6761610000e5eb89639e3249960f90a44887ba","Alustrium","circularImage","white"
"Exocrine","https://i.scdn.co/image/ab6761610000e5eb4dc823881281a5d0db291aed","Exocrine","circularImage","white"
"Apogean","https://i.scdn.co/image/ab6761610000e5eb117a209aece3d29b297eafa2","Apogean","circularImage","white"
"Symbolik","https://i.scdn.co/image/ab67616d0000b2732dff69676f56b48fb61b404f","Symbolik","circularImage","white"
"Equipoise","https://i.scdn.co/image/ab6761610000e5eb8e0a8458280c06e847a4a0ec","Equipoise","circularImage","white"
"Demon King","https://i.scdn.co/image/ab6761610000e5ebf9c1052ca330260a14f99672","Demon King","circularImage","white"
"Deviant Process","https://i.scdn.co/image/ab6761610000e5ebb623076aa8a8d621df07aff2","Deviant Process","circularImage","white"
